Respondent ID,Region,ETA Office,Topic,Question,Answer,Score
141019459,Atlanta,Division of Financial Management & Administrative Services (DFMAS),The amount of learning I experienced in this training was,Change Management,D-Excellent,4
141019577,Atlanta,Office of the Regional Administrator (ORA),The amount of learning I experienced in this training was,Change Management,D-Excellent,4
141019668,Atlanta,Office of the Regional Administrator (ORA),The amount of learning I experienced in this training was,Change Management,D-Excellent,4
141019752,Atlanta,Office of the Regional Administrator (ORA),The amount of learning I experienced in this training was,Change Management,D-Excellent,4
141019957,Atlanta,Office of Job Corps,The amount of learning I experienced in this training was,Change Management,D-Excellent,4
141020039,Atlanta,Office of Job Corps,The amount of learning I experienced in this training was,Change Management,D-Excellent,4
141020132,Atlanta,Office of Apprenticeship,The amount of learning I experienced in this training was,Change Management,D-Excellent,4
141020220,Atlanta,OTAA,The amount of learning I experienced in this training was,Change Management,D-Excellent,4
141019237,Atlanta,Division of Financial Management & Administrative Services (DFMAS),The amount of learning I experienced in this training was,Connecting the Dots,D-Excellent,4
141019356,Atlanta,Division of Financial Management & Administrative Services (DFMAS),The amount of learning I experienced in this training was,Connecting the Dots,D-Excellent,4
141019459,Atlanta,Division of Financial Management & Administrative Services (DFMAS),The amount of learning I experienced in this training was,Connecting the Dots,D-Excellent,4
141019577,Atlanta,Office of the Regional Administrator (ORA),The amount of learning I experienced in this training was,Connecting the Dots,D-Excellent,4
141019668,Atlanta,Office of the Regional Administrator (ORA),The amount of learning I experienced in this training was,Connecting the Dots,D-Excellent,4
141019752,Atlanta,Office of the Regional Administrator (ORA),The amount of learning I experienced in this training was,Connecting the Dots,D-Excellent,4
141019957,Atlanta,Office of Job Corps,The amount of learning I experienced in this training was,Connecting the Dots,D-Excellent,4
141020039,Atlanta,Office of Job Corps,The amount of learning I experienced in this training was,Connecting the Dots,D-Excellent,4
141020132,Atlanta,Office of Apprenticeship,The amount of learning I experienced in this training was,Connecting the Dots,D-Excellent,4
141020220,Atlanta,OTAA,The amount of learning I experienced in this training was,Connecting the Dots,D-Excellent,4
141018714,Atlanta,Office of Special Initiatives and Demonstrations (OSID),The amount of learning I experienced in this training was,In Their Shoes,D-Excellent,4
141018952,Atlanta,Division of Financial Management & Administrative Services (DFMAS),The amount of learning I experienced in this training was,In Their Shoes,D-Excellent,4
141019088,Atlanta,Division of Financial Management & Administrative Services (DFMAS),The amount of learning I experienced in this training was,In Their Shoes,D-Excellent,4
141019237,Atlanta,Division of Financial Management & Administrative Services (DFMAS),The amount of learning I experienced in this training was,In Their Shoes,D-Excellent,4
141019356,Atlanta,Division of Financial Management & Administrative Services (DFMAS),The amount of learning I experienced in this training was,In Their Shoes,D-Excellent,4
141019459,Atlanta,Division of Financial Management & Administrative Services (DFMAS),The amount of learning I experienced in this training was,In Their Shoes,D-Excellent,4
141019577,Atlanta,Office of the Regional Administrator (ORA),The amount of learning I experienced in this training was,In Their Shoes,D-Excellent,4
141019668,Atlanta,Office of the Regional Administrator (ORA),The amount of learning I experienced in this training was,In Their Shoes,D-Excellent,4
141019752,Atlanta,Office of the Regional Administrator (ORA),The amount of learning I experienced in this training was,In Their Shoes,D-Excellent,4
141019957,Atlanta,Office of Job Corps,The amount of learning I experienced in this training was,In Their Shoes,D-Excellent,4
141020039,Atlanta,Office of Job Corps,The amount of learning I experienced in this training was,In Their Shoes,D-Excellent,4
141020132,Atlanta,Office of Apprenticeship,The amount of learning I experienced in this training was,In Their Shoes,D-Excellent,4
141020220,Atlanta,OTAA,The amount of learning I experienced in this training was,In Their Shoes,D-Excellent,4
141018952,Atlanta,Division of Financial Management & Administrative Services (DFMAS),The amount of learning I experienced in this training was,Measuring Our Success,D-Excellent,4
141019088,Atlanta,Division of Financial Management & Administrative Services (DFMAS),The amount of learning I experienced in this training was,Measuring Our Success,D-Excellent,4
141019237,Atlanta,Division of Financial Management & Administrative Services (DFMAS),The amount of learning I experienced in this training was,Measuring Our Success,D-Excellent,4
141019356,Atlanta,Division of Financial Management & Administrative Services (DFMAS),The amount of learning I experienced in this training was,Measuring Our Success,D-Excellent,4
141019459,Atlanta,Division of Financial Management & Administrative Services (DFMAS),The amount of learning I experienced in this training was,Measuring Our Success,D-Excellent,4
141019577,Atlanta,Office of the Regional Administrator (ORA),The amount of learning I experienced in this training was,Measuring Our Success,D-Excellent,4
141019668,Atlanta,Office of the Regional Administrator (ORA),The amount of learning I experienced in this training was,Measuring Our Success,D-Excellent,4
141019752,Atlanta,Office of the Regional Administrator (ORA),The amount of learning I experienced in this training was,Measuring Our Success,D-Excellent,4
141019957,Atlanta,Office of Job Corps,The amount of learning I experienced in this training was,Measuring Our Success,D-Excellent,4
141020039,Atlanta,Office of Job Corps,The amount of learning I experienced in this training was,Measuring Our Success,D-Excellent,4
141020132,Atlanta,Office of Apprenticeship,The amount of learning I experienced in this training was,Measuring Our Success,D-Excellent,4
141019088,Atlanta,Division of Financial Management & Administrative Services (DFMAS),The amount of learning I experienced in this training was,The Art of Technical Assistance,D-Excellent,4
141019237,Atlanta,Division of Financial Management & Administrative Services (DFMAS),The amount of learning I experienced in this training was,The Art of Technical Assistance,D-Excellent,4
141019356,Atlanta,Division of Financial Management & Administrative Services (DFMAS),The amount of learning I experienced in this training was,The Art of Technical Assistance,D-Excellent,4
141019459,Atlanta,Division of Financial Management & Administrative Services (DFMAS),The amount of learning I experienced in this training was,The Art of Technical Assistance,D-Excellent,4
141019577,Atlanta,Office of the Regional Administrator (ORA),The amount of learning I experienced in this training was,The Art of Technical Assistance,D-Excellent,4
141019668,Atlanta,Office of the Regional Administrator (ORA),The amount of learning I experienced in this training was,The Art of Technical Assistance,D-Excellent,4
141019752,Atlanta,Office of the Regional Administrator (ORA),The amount of learning I experienced in this training was,The Art of Technical Assistance,D-Excellent,4
141019957,Atlanta,Office of Job Corps,The amount of learning I experienced in this training was,The Art of Technical Assistance,D-Excellent,4
141020039,Atlanta,Office of Job Corps,The amount of learning I experienced in this training was,The Art of Technical Assistance,D-Excellent,4
141020132,Atlanta,Office of Apprenticeship,The amount of learning I experienced in this training was,The Art of Technical Assistance,D-Excellent,4
141020220,Atlanta,OTAA,The amount of learning I experienced in this training was,The Art of Technical Assistance,D-Excellent,4
141019459,Atlanta,Division of Financial Management & Administrative Services (DFMAS),The amount of learning I experienced in this training was,Uncovering the Impact of WIOA,D-Excellent,4
141019577,Atlanta,Office of the Regional Administrator (ORA),The amount of learning I experienced in this training was,Uncovering the Impact of WIOA,D-Excellent,4
141019668,Atlanta,Office of the Regional Administrator (ORA),The amount of learning I experienced in this training was,Uncovering the Impact of WIOA,D-Excellent,4
141019752,Atlanta,Office of the Regional Administrator (ORA),The amount of learning I experienced in this training was,Uncovering the Impact of WIOA,D-Excellent,4
141019957,Atlanta,Office of Job Corps,The amount of learning I experienced in this training was,Uncovering the Impact of WIOA,D-Excellent,4
141020039,Atlanta,Office of Job Corps,The amount of learning I experienced in this training was,Uncovering the Impact of WIOA,D-Excellent,4
141020132,Atlanta,Office of Apprenticeship,The amount of learning I experienced in this training was,Uncovering the Impact of WIOA,D-Excellent,4
141020220,Atlanta,OTAA,The amount of learning I experienced in this training was,Uncovering the Impact of WIOA,D-Excellent,4
141015533,Atlanta,"Office of State Systems (OSS)-WIOA, WP, etc",The amount of learning I experienced in this training was,Change Management,B-Average,2
141015753,Atlanta,"Office of State Systems (OSS)-WIOA, WP, etc",The amount of learning I experienced in this training was,Change Management,B-Average,2
141015959,Atlanta,"Office of State Systems (OSS)-WIOA, WP, etc",The amount of learning I experienced in this training was,Change Management,B-Average,2
141016212,Atlanta,"Office of State Systems (OSS)-WIOA, WP, etc",The amount of learning I experienced in this training was,Change Management,B-Average,2
141016399,Atlanta,"Office of State Systems (OSS)-WIOA, WP, etc",The amount of learning I experienced in this training was,Change Management,B-Average,2
141015533,Atlanta,"Office of State Systems (OSS)-WIOA, WP, etc",The amount of learning I experienced in this training was,Connecting the Dots,B-Average,2
141015753,Atlanta,"Office of State Systems (OSS)-WIOA, WP, etc",The amount of learning I experienced in this training was,Connecting the Dots,B-Average,2
141015959,Atlanta,"Office of State Systems (OSS)-WIOA, WP, etc",The amount of learning I experienced in this training was,Connecting the Dots,B-Average,2
141015533,Atlanta,"Office of State Systems (OSS)-WIOA, WP, etc",The amount of learning I experienced in this training was,In Their Shoes,B-Average,2
141015753,Atlanta,"Office of State Systems (OSS)-WIOA, WP, etc",The amount of learning I experienced in this training was,In Their Shoes,B-Average,2
141015533,Atlanta,"Office of State Systems (OSS)-WIOA, WP, etc",The amount of learning I experienced in this training was,Measuring Our Success,B-Average,2
141015753,Atlanta,"Office of State Systems (OSS)-WIOA, WP, etc",The amount of learning I experienced in this training was,Measuring Our Success,B-Average,2
141015959,Atlanta,"Office of State Systems (OSS)-WIOA, WP, etc",The amount of learning I experienced in this training was,Measuring Our Success,B-Average,2
141015533,Atlanta,"Office of State Systems (OSS)-WIOA, WP, etc",The amount of learning I experienced in this training was,The Art of Technical Assistance,B-Average,2
141015753,Atlanta,"Office of State Systems (OSS)-WIOA, WP, etc",The amount of learning I experienced in this training was,The Art of Technical Assistance,B-Average,2
141015959,Atlanta,"Office of State Systems (OSS)-WIOA, WP, etc",The amount of learning I experienced in this training was,The Art of Technical Assistance,B-Average,2
141015533,Atlanta,"Office of State Systems (OSS)-WIOA, WP, etc",The amount of learning I experienced in this training was,Uncovering the Impact of WIOA,B-Average,2
